Front,Back,Tags
"Hvad er parlamentarisme?","議會制 — 政府不能有 Folketinget 多數反對；1953 入憲","politics tredeling"
"Hvad er en mistillidsvotum?","不信任投票 — Folketinget 可逼整個政府或單一部長下台","politics kontrol"
"Hvad er Danida?","丹麥外交部下屬 — 負責對外發展援助 (udviklingsbistand)","politics udenrigs"
"Hvad er A-kasse?","失業保險基金 — 通常隸屬工會，提供失業救濟金 (dagpenge)","economy arbejdsmarked"
"Hvilket folk søger jobcentre hjælper?","Arbejdsløse（失業者）— 由 Kommune 經營","politics kommuner"
"Hvor mange folkeafstemninger har der været siden 1953?","16 場 — 過半數關於 EU 議題","politics demokrati"
"Hvornår blev Danmark medlem af NATO?","1949 — 結束二戰中立政策","history nato"
"Hvornår blev Island en uafhængig republik?","1944 — 公投通過脫離丹麥","history rigsfællesskab"
"Hvilke områder er i Rigsfællesskabet med Danmark?","Færøerne（法羅）og Grønland（格陵蘭）","politics rigsfællesskab"
"Hvor høj er Danmarks højeste naturlige punkt?","Cirka 170 meter — Møllehøj","geography"
"Hvilket land kom mange landbrugsarbejdere fra i slutningen af 1800-tallet?","Polen（波蘭）— 季節性農工","history indvandring"
"Hvilket land kom flest gæstearbejdere fra i 1960'erne?","Tyrkiet（土耳其）","history indvandring"
"Hvor gamle er kvinder i gennemsnit ved deres første barn?","Cirka 29 år","social familie"
"Hvad arbejdede Rødstrømpebevægelsen for?","Ligestilling mellem mænd og kvinder（兩性平權）— 1970s 運動","social ligestilling"
"Hvornår blev fri abort indført?","1973 — 同年加入 EF","social ligestilling"
"Hvem var Thorvald Stauning?","Danmarks første socialdemokratiske statsminister（1924）","history politik"
"Hvem var Nina Bang?","Danmarks første kvindelige minister（1924）","history politik"
